Fault Buffer,Min Area Fraction,Match Count,Match Fraction,Match Rate,Match Rate Fraction
1.0,0.0,13915,0.05484695,0.23450115,0.5007125
1.0,9.0,18187,0.07168534,0.2882155,0.6154046
1.0,9.0,20704,0.08160627,0.30906856,0.6599306
1.0,9.0,24022,0.0946844,0.32731178,0.698884
1.0,9.0,25579,0.10082142,0.3436778,0.7338291
1.0,9.0,27641,0.10894894,0.35149485,0.7505203
1.0,9.0,31406,0.12378895,0.36308366,0.775265
1.0,9.0,34469,0.13586198,0.3675339,0.7847672
1.0,9.0,15245,0.060089238,0.20069592,0.42853075
1.0,9.0,27,1.064224E-4,2.6149277E-4,5.583457E-4
2.0,0.0,12411,0.04891883,0.22331499,0.47682753
2.0,9.0,17058,0.067235306,0.27329582,0.58354783
2.0,9.0,18388,0.072477594,0.2886391,0.61630917
2.0,9.0,20323,0.08010453,0.3099401,0.66179156
2.0,9.0,21944,0.08649381,0.33101538,0.706792
2.0,9.0,23646,0.09320237,0.3396015,0.72512525
2.0,9.0,26997,0.10641057,0.3517362,0.7510356
2.0,9.0,31945,0.12591346,0.36116636,0.7711711
2.0,9.0,14682,0.057870135,0.19988893,0.42680764
2.0,9.0,28,1.10363966E-4,2.7034024E-4,5.77237E-4
3.0,0.0,11731,0.04623856,0.18743241,0.40021017
3.0,9.0,15660,0.06172499,0.24386322,0.5207026
3.0,9.0,17036,0.06714859,0.2773392,0.59218127
3.0,9.0,18629,0.07342751,0.29809168,0.63649255
3.0,9.0,19790,0.078003675,0.31365433,0.66972226
3.0,9.0,22066,0.08697469,0.32599345,0.69606906
3.0,9.0,25364,0.099973984,0.3398903,0.7257419
3.0,9.0,29443,0.11605165,0.35034108,0.74805665
3.0,9.0,13814,0.05444885,0.19703498,0.4207138
3.0,9.0,35,1.3795495E-4,2.6267522E-4,5.6087045E-4
4.0,0.0,10829,0.042683262,0.17853686,0.3812162
4.0,9.0,14900,0.058729395,0.23431192,0.50030845
4.0,9.0,16155,0.06367607,0.25052193,0.53492045
4.0,9.0,17543,0.06914697,0.26684046,0.56976414
4.0,9.0,18507,0.07294664,0.29632202,0.63271385
4.0,9.0,20081,0.07915067,0.3138674,0.67017716
4.0,9.0,22726,0.089576125,0.32410905,0.69204545
4.0,9.0,25633,0.10103427,0.33493507,0.71516144
4.0,9.0,12375,0.048776932,0.18715134,0.39961004
4.0,9.0,30,1.182471E-4,1.619687E-4,3.4583945E-4
5.0,0.0,10351,0.040799193,0.1723295,0.3679621
5.0,9.0,13970,0.055063736,0.22451311,0.4793858
5.0,9.0,15666,0.06174864,0.24152164,0.51570284
5.0,9.0,16866,0.06647852,0.25590017,0.5464042
5.0,9.0,17730,0.06988404,0.28261608,0.6034486
5.0,9.0,19151,0.07548501,0.29488352,0.62964237
5.0,9.0,21500,0.08474376,0.30886227,0.65949017
5.0,9.0,23031,0.090778306,0.31998459,0.68323874
5.0,9.0,11499,0.045324117,0.17553827,0.37481356
5.0,9.0,32,1.2613024E-4,1.6197935E-4,3.4586218E-4
6.0,0.0,9426,0.03715324,0.1649229,0.35214734
6.0,9.0,12927,0.050952677,0.21470489,0.45844302
6.0,9.0,14098,0.055568255,0.22951601,0.49006814
6.0,9.0,15268,0.060179893,0.2455557,0.52431643
6.0,9.0,16495,0.0650162,0.27187392,0.58051175
6.0,9.0,17868,0.07042798,0.2845213,0.6075167
6.0,9.0,20159,0.07945811,0.2964694,0.63302857
6.0,9.0,21403,0.08436143,0.30444634,0.65006113
6.0,9.0,10688,0.0421275,0.1644628,0.35116494
6.0,9.0,29,1.14305534E-4,9.5834264E-5,2.0462762E-4
7.0,0.0,8977,0.035383474,0.15879716,0.33906752
